ticker,name,theme,theme_key,sector,price,score,catalyst,sector_momentum,technical,quality,value,risk,ret1_pct,ret5_pct,ret20_pct,rsi,band52_pct,volume_ratio,marketCap_B,forwardPE,trailingPE,ps,revenueGrowth,news_score_raw,negative_news_raw,news,reason
MU,"Micron Technology, Inc.",AI Infrastructure / Data Center,ai_infra,Technology,919.62,72.8,100,18,56,93,72,80,-2.0,-20.32,-3.11,44.2,73.5,0.39,1038.6,6.1,20.8,11.5,345.7,7.27,1.17,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... | Teknik: RSI 44.2, 20g -3.11% | Fwd P/E 6.1 | Gelir büy. 345.7% | 52h band 73.5%"
COP,ConocoPhillips,Oil / Gas / LNG,energy_oil_gas,Energy,111.21,72.7,100,58,64,58,59,89,2.55,6.97,-6.46,49.7,56.1,0.39,135.5,12.3,18.8,2.3,-5.3,7.15,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 49.7, 20g -6.46% | Fwd P/E 12.3 | Gelir büy. -5.3% | 52h band 56.1%"
NVO,Novo Nordisk A/S,Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,49.12,72.7,85,78,64,74,33,90,-1.04,2.47,19.76,76.6,42.7,0.3,217.4,15.1,11.8,0.7,24.0,0.93,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 76.6, 20g 19.76% | Fwd P/E 15.1 | Gelir büy. 24.0% | 52h band 42.7%"
ZS,"Zscaler, Inc.",Cybersecurity,cybersecurity,Technology,142.51,72.5,100,81,56,58,39,86,-4.68,0.96,10.26,66.9,11.2,0.28,23.0,31.0,,7.3,25.4,2.79,0.0,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 66.9, 20g 10.26% | Fwd P/E 31.0 | Gelir büy. 25.4% | 52h band 11.2%"
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,663.62,72.5,81,78,57,78,48,85,-1.86,6.43,8.55,70.0,45.9,0.2,69.6,12.4,16.2,4.7,19.0,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 70.0, 20g 8.55% | Fwd P/E 12.4 | Gelir büy. 19.0% | 52h band 45.9%"
SOFI,"SoFi Technologies, Inc.",Banks / Fintech / Rates,fintech_banks,Financial Services,17.11,72.3,94,76,53,76,40,77,-3.61,-4.58,3.7,44.6,11.5,0.35,21.9,21.1,38.0,5.6,42.5,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 44.6, 20g 3.7% | Fwd P/E 21.1 | Gelir büy. 42.5% | 52h band 11.5%"
AVGO,Broadcom Inc.,AI Infrastructure / Data Center,ai_infra,Technology,384.28,72.2,100,18,62,93,46,88,3.64,1.73,-2.95,52.8,54.2,0.46,1827.4,19.8,63.9,24.2,47.9,5.46,0.46,Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V...,"Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Oxipital AI Closes Series A Following Major Commercial Expansion and Rapid Adoption of its V... | Teknik: RSI 52.8, 20g -2.95% | Fwd P/E 19.8 | Gelir büy. 47.9% | 52h band 54.2%"
PANW,"Palo Alto Networks, Inc.",Cybersecurity,cybersecurity,Technology,318.25,72.2,100,81,60,70,0,89,-5.58,-6.68,19.49,63.8,81.8,0.59,259.4,77.2,276.7,24.5,31.1,3.01,0.0,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 63.8, 20g 19.49% | Fwd P/E 77.2 | Gelir büy. 31.1% | 52h band 81.8%"
MA,Mastercard Incorporated,Banks / Fintech / Rates,fintech_banks,Financial Services,520.74,72.2,94,76,61,77,9,89,-2.05,1.39,7.22,59.5,39.4,0.22,460.1,22.9,30.2,13.6,15.8,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 59.5, 20g 7.22% | Fwd P/E 22.9 | Gelir büy. 15.8% | 52h band 39.4%"
DDOG,"Datadog, Inc.",Cybersecurity,cybersecurity,Technology,254.16,72.1,100,81,60,69,9,83,-1.03,-2.38,9.71,66.2,86.7,0.24,90.5,88.9,651.7,24.6,32.2,2.77,0.36,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 66.2, 20g 9.71% | Fwd P/E 88.9 | Gelir büy. 32.2% | 52h band 86.7%"
